,Name,Year,Price,Cl,Country,Category,Region,ID
177,Jean Fillioux So Elegantissime XO Grande Champagne,Non-Vintage,99.12,70 cl,France,Liquor, Cognac Tradisjonell,134301
178,Bollinger Spécial Cuvée Brut,Non-Vintage,254.77,300 cl,France,Sparkling wine, Champagne,87907
179,"Veuve Clicquot, Brut",Non-Vintage,356.51,300 cl,France,Sparkling wine, Champagne,88107
180,Moutard Vieilles Vignes Arbane Brut 2014,2014,165.21,75 cl,France,Sparkling wine, Champagne,129001
181,Montesecondo Tïn 2011,2011,73.91,150 cl,Italy,Red wine, Toscana,187805
182,Hirsch Pinot Noir Reserve 2018,2018,75.64,75 cl,USA,Red wine, California,295801
183,Tariquet L´Armagnac du Centenaire,Non-Vintage,191.3,70 cl,France,Liquor, Armagnac,264201
184,Tomatin Highland Single Malt 18 YO,Non-Vintage,118.52,70 cl,Scotland,Liquor, Highland,525001
185,Palmer Brut Réserve,Non-Vintage,79.99,150 cl,France,Sparkling wine, Champagne,686305
186,Marc Morey Chassagne-Montrachet 1er Cru Les Vergers 2018,2018,85.21,75 cl,France,White wine, Burgund,1250201
187,Don Melchor 2019,2019,104.34,75 cl,Chile,Red wine, Valle Central,1365001
188,Ferrari Giulio Ferrari 2009,2009,84.17,75 cl,Italy,Sparkling wine, Trentino-Alto Adige,1514901
189,Maxime Trijol Grande Champagne XO,Non-Vintage,110.87,70 cl,France,Liquor, Cognac Tradisjonell,1685001
190,Dictador Colombian Rum 20 YO,Non-Vintage,69.56,70 cl,Colombia,Liquor, Øvrige,1683001
191,Courvoisier Initiale Extra Cognac,Non-Vintage,421.73,70 cl,France,Liquor, Cognac Tradisjonell,1703001
192,Togouchi Premium,Non-Vintage,65.74,70 cl,Japan,Liquor, Øvrige,1818201
193,Monte Faustino Amarone Valpolicella Classico Riserva 2013,2013,121.73,75 cl,Italy,Red wine, Veneto,1814901
194,Forman Napa Valley Cabernet Sauvignon 2017,2017,89.04,75 cl,USA,Red wine, California,1904501
195,Porseleinberg 2018,2018,73.9,75 cl,Sør-Afrika,Red wine, Coastal Region,1991801
196,Le Ragnaie Brunello di Montalcino V.V. 2017,2017,130.43,75 cl,Italy,Red wine, Toscana,1989901
197,Baron Gaston Legrand Bas-Armagnac (5x20cl),Non-Vintage,156.38,100 cl,France,Liquor, Armagnac,2060608
198,Ch. Cantemerle 2010,2010,80.47,75 cl,France,Red wine, Bordeaux,2066201
199,Hine Antique XO Premier Cru,Non-Vintage,173.9,70 cl,France,Liquor, Cognac Tradisjonell,441101
200,Kavalan Single Malt,Non-Vintage,70.43,70 cl,Taiwan,Liquor,not found,526601
201,Tommasi Amarone della Valpolicella Classico 2017,2017,78.25,150 cl,Italy,Red wine, Veneto,629905
202,Bertani Amarone della Valpolicella Classico 2012,2012,86,75 cl,Italy,Red wine, Veneto,627001
203,Rémi Landier VSOP,Non-Vintage,76.95,70 cl,France,Liquor, Cognac Tradisjonell,716001
204,Amrut Peated Indian Single Malt Whisky,Non-Vintage,71.22,70 cl,India,Liquor, Øvrige,775001
205,Amrut Kadhambam Single Malt,Non-Vintage,126.87,70 cl,India,Liquor, Øvrige,775101
206,Baron Otard X.O. Gold,Non-Vintage,121.73,70 cl,France,Liquor, Cognac Tradisjonell,783601
207,Rémy Martin Louis XIII,Non-Vintage,2869.57,70 cl,France,Liquor, Cognac Tradisjonell,764901
208,Stag's Leap Cask 23 Cabernet Sauvignon 2017,2017,217.39,75 cl,USA,Red wine, California,846301
209,El Desafio de Jonata 2017,2017,147.74,75 cl,USA,Red wine, California,927001
210,Ch. Angludet 2014,2014,104.34,150 cl,France,Red wine, Bordeaux,920605
211,Hardy XO Rare,Non-Vintage,78.07,70 cl,France,Liquor, Cognac Tradisjonell,983701
212,Dom. du Pélican Arbois Trois Cépages 2016,2016,71.48,150 cl,France,Red wine, Jura,3778105
213,Clos de l'Obac 2007,2007,92.9,75 cl,Spain,Red wine, Catalonia,3859101
214,Teeling Single Malt,Non-Vintage,68.69,70 cl,Ireland,Liquor, Øvrige,3871301
215,Gordon & MacPhail Strathisla 1967,1967,1648.3,70 cl,Scotland,Liquor, Speyside,3991001
216,Gordon & MacPhail George & J.G.Smith's Glenlivet 1977,1977,1156.81,70 cl,Scotland,Liquor, Speyside,3992301
217,Gordon & MacPhail Rosebank Rare Old 1989,1989,1115.91,70 cl,Scotland,Liquor, Lowland,3993801
218,Royal Tokaji Aszú 6 Puttonyos Betsek 2017,2017,80.77,50 cl,Hungary,White wine, Tokaj,4006302
219,Gordon & MacPhail Miltonduff 1984,1984,545.8,70 cl,Scotland,Liquor, Speyside,3993501
220,Dalmore 12 YO Single Highland Malt,Non-Vintage,73.47,70 cl,Scotland,Liquor, Highland,4173301
221,Lanson Black Label Brut,Non-Vintage,247.82,300 cl,France,Sparkling wine, Champagne,4222207
222,Drappier Brut Nature,Non-Vintage,73.91,150 cl,France,Sparkling wine, Champagne,4194905
223,Meukow Extra,Non-Vintage,243.47,70 cl,France,Liquor, Cognac Tradisjonell,4249301
224,Bache-Gabrielsen X.O. Fine Champagne,Non-Vintage,77.38,100 cl,France,Liquor, Cognac Tradisjonell,4269601
225,Stolichnaya Elit,Non-Vintage,69.56,70 cl,Latvia,Liquor, Øvrige,4240401
226,Tesseron Lot N° 29 X.O. Exception,Non-Vintage,486.52,70 cl,France,Liquor, Cognac Tradisjonell,4338701
227,Vega Sicilia Valbuena 5° 2016,2016,147.82,75 cl,Spain,Red wine,Castilla y León,4348701
228,Tesseron Lot N° 53 X.O. Perfection,Non-Vintage,260.43,70 cl,France,Liquor, Cognac Tradisjonell,4338801
229,Nicolas Feuillatte Brut Réserve,Non-Vintage,689.99,900 cl,France,Sparkling wine, Champagne,4364307
230,Claude Dugat Gevrey-Chambertin 1. Cru 2016,2016,139.12,75 cl,France,Red wine, Burgund,2158501
231,Charles Heidsieck Brut Réserve,Non-Vintage,91.22,150 cl,France,Sparkling wine, Champagne,2168905
232,Claude Dugat Charmes-Chambertin Grand Cru 2015,2015,294.77,75 cl,France,Red wine, Burgund,2158201
233,Lhéraud Petite Champagne 1975,1975,421.74,70 cl,France,Liquor, Cognac Brut,2148401
234,Cognac Park X.O.,Non-Vintage,86.95,70 cl,France,Liquor, Cognac Tradisjonell,2176901
235,Cognac Park Borderies,Non-Vintage,69.56,70 cl,France,Liquor, Cognac Tradisjonell,2177101
236,Poli Grappa Sassicaia,Non-Vintage,68.26,50 cl,Italy,Liquor, Veneto,2292402
237,Brasilberg,Non-Vintage,66.95,100 cl,Germany,Liquor, Øvrige,2331901
238,Clos de L'Arlot Nuits-Saint-Georges 1er Cru Blanc 2018,2018,113.03,75 cl,France,White wine, Burgund,7205101
239,Jean Fillioux Cigar Club Grande Champagne,Non-Vintage,96.51,70 cl,France,Liquor, Cognac Tradisjonell,8037201
240,Ch. Montifaud Héritage Louis Vallet L50,Non-Vintage,182.6,70 cl,France,Liquor, Cognac Tradisjonell,9036301
241,Royal Tokaji Mezes Maly 6 Puttonyos 2014,2014,85.73,50 cl,Hungary,White wine, Tokaj,9182602
242,Ch. Lagrange 2018,2018,74.77,75 cl,France,Red wine, Bordeaux,9215501
243,Olivier Leflaive Meursault 2019,2019,69.56,75 cl,France,White wine, Burgund,9200001
244,Michele Chiarlo Barolo Cannubi 2018,2018,78.25,75 cl,Italy,Red wine, Piemonte,9198601
245,Michter's US 1 Straight Rye Single Barrel,Non-Vintage,68.69,70 cl,USA,Liquor, Kentucky,3958401
246,Fontanafredda Barolo Vigna La Rosa 1996,1996,111.3,75 cl,Italy,Red wine, Piemonte,9019001
247,Lisini Brunello di Montalcino 2017,2017,138.69,150 cl,Italy,Red wine, Toscana,9067405
248,The Ileach Islay Single Malt Cask Strength Scotch Whisky,Non-Vintage,69.39,70 cl,Scotland,Liquor, Islay,9053301
249,Simpsons Q-Class Pinot Noir 2020,2020,104.35,150 cl,England,Red wine, Øvrige,13752005
250,Simpsons Q-Class Chardonnay,Non-Vintage,104.35,150 cl,England,White wine, Øvrige,13751905
251,Moët & Chandon Impérial Brut,Non-Vintage,91.3,150 cl,France,Sparkling wine, Champagne,89505
252,Niepoort Colheita 1997,1997,69.56,75 cl,Portugal,Port wine, Douro e Porto,11411801
